Date,T-BILL1Y,Value
10/08/2011,3.428771,0
11/08/2011,3.408262,0
15/08/2011,3.418095,1
16/08/2011,3.429333,1
17/08/2011,3.454614,1
18/08/2011,3.472871,1
19/08/2011,3.467254,0
22/08/2011,3.45321,0
23/08/2011,3.460232,1
24/08/2011,3.461636,1
25/08/2011,3.467254,1
26/08/2011,3.470063,1
29/08/2011,3.47568,1
30/08/2011,3.478254,1
31/08/2011,3.478254,1
01/09/2011,3.492999,1
02/09/2011,3.491361,0
05/09/2011,3.491361,1
06/09/2011,3.489722,0
07/09/2011,3.489722,1
08/09/2011,3.50236,1
09/09/2011,3.519209,1
12/09/2011,3.514997,0
13/09/2011,3.526228,1
14/09/2011,3.526228,1
15/09/2011,3.527632,1
16/09/2011,3.538864,1
19/09/2011,3.531844,0
20/09/2011,3.564132,1
21/09/2011,3.56343,0
22/09/2011,3.576203,1
23/09/2011,3.564132,0
26/09/2011,3.560482,0
27/09/2011,3.568343,1
28/09/2011,3.552902,0
29/09/2011,3.566705,1
30/09/2011,3.566705,1
03/10/2011,3.568343,1
04/10/2011,3.568343,1
05/10/2011,3.56343,0
06/10/2011,3.552902,0
07/10/2011,3.547053,0
10/10/2011,3.533248,0
11/10/2011,3.463041,0
12/10/2011,3.442208,0
13/10/2011,3.425821,0
14/10/2011,3.430737,1
17/10/2011,3.433546,1
18/10/2011,3.418095,0
19/10/2011,3.411072,0
20/10/2011,3.36471,0
21/10/2011,3.3619,0
25/10/2011,3.322554,0
26/10/2011,3.336607,1
27/10/2011,3.322554,0
28/10/2011,3.33403,1
31/10/2011,3.323959,0
01/11/2011,3.299364,0
02/11/2011,3.295147,0
03/11/2011,3.293742,0
04/11/2011,3.298778,1
07/11/2011,3.295147,0
08/11/2011,3.296961,1
09/11/2011,3.294149,0
10/11/2011,3.281517,0
11/11/2011,3.276875,0
14/11/2011,3.276875,1
15/11/2011,3.273782,0
16/11/2011,3.266753,0
17/11/2011,3.263914,0
18/11/2011,3.258291,0
21/11/2011,3.254073,0
22/11/2011,3.239377,0
23/11/2011,3.232841,0
24/11/2011,3.228624,0
25/11/2011,3.225812,0
28/11/2011,3.228442,1
29/11/2011,3.219526,0
30/11/2011,3.201481,0
01/12/2011,3.177182,0
02/12/2011,3.158061,0
06/12/2011,3.114033,0
07/12/2011,3.115117,1
08/12/2011,3.113351,0
09/12/2011,3.102455,0
13/12/2011,3.087725,0
14/12/2011,3.085051,0
15/12/2011,3.086458,1
16/12/2011,3.085051,0
19/12/2011,3.085051,1
20/12/2011,3.083644,0
21/12/2011,3.085051,1
22/12/2011,3.090539,1
23/12/2011,3.093353,1
26/12/2011,3.093353,1
27/12/2011,3.091946,0
28/12/2011,3.091242,0
29/12/2011,3.092227,1
30/12/2011,3.097573,1
04/01/2012,3.094759,0
05/01/2012,3.082097,0
06/01/2012,3.072247,0
09/01/2012,3.071544,0
10/01/2012,3.062749,0
11/01/2012,3.061342,0
12/01/2012,3.069785,1
13/01/2012,3.069433,0
16/01/2012,3.073655,1
17/01/2012,3.073655,1
18/01/2012,3.068026,0
19/01/2012,3.068026,1
20/01/2012,3.068026,1
23/01/2012,3.065212,0
24/01/2012,3.056769,0
25/01/2012,3.046919,0
26/01/2012,3.044104,0
27/01/2012,3.042697,0
30/01/2012,3.039882,0
31/01/2012,3.040351,1
01/02/2012,3.037068,0
02/02/2012,3.037068,1
03/02/2012,3.03566,0
06/02/2012,3.034253,0
07/02/2012,3.044104,1
08/02/2012,3.041289,0
09/02/2012,3.039882,0
10/02/2012,3.042697,1
13/02/2012,3.049733,1
14/02/2012,3.052547,1
15/02/2012,3.052829,1
16/02/2012,3.056769,1
17/02/2012,3.056769,1
20/02/2012,3.056065,0
21/02/2012,3.056065,1
22/02/2012,3.052665,0
23/02/2012,3.061694,1
24/02/2012,3.063805,1
27/02/2012,3.063805,1
28/02/2012,3.066619,1
29/02/2012,3.082097,1
01/03/2012,3.084911,1
02/03/2012,3.090539,1
05/03/2012,3.104608,1
06/03/2012,3.100387,0
08/03/2012,3.113049,1
09/03/2012,3.108828,0
12/03/2012,3.113049,1
13/03/2012,3.117503,1
14/03/2012,3.110235,0
15/03/2012,3.113049,1
16/03/2012,3.111642,0
19/03/2012,3.110235,0
20/03/2012,3.110235,1
21/03/2012,3.113049,1
22/03/2012,3.113049,1
23/03/2012,3.113049,1
26/03/2012,3.113049,1
27/03/2012,3.113049,1
28/03/2012,3.113049,1
29/03/2012,3.125709,1
30/03/2012,3.125709,1
02/04/2012,3.128523,1
03/04/2012,3.128523,1
04/04/2012,3.129226,1
05/04/2012,3.132039,1
10/04/2012,3.132743,1
11/04/2012,3.134149,1
12/04/2012,3.136963,1
17/04/2012,3.136963,1
18/04/2012,3.141183,1
19/04/2012,3.142589,1
20/04/2012,3.142589,1
23/04/2012,3.142589,1
24/04/2012,3.158061,1
25/04/2012,3.159468,1
26/04/2012,3.170719,1
27/04/2012,3.169313,0
30/04/2012,3.212907,1
02/05/2012,3.20447,0
03/05/2012,3.19322,0
04/05/2012,3.190408,0
08/05/2012,3.183376,0
09/05/2012,3.184783,1
10/05/2012,3.184783,1
11/05/2012,3.180564,0
14/05/2012,3.159468,0
15/05/2012,3.153607,0
16/05/2012,3.152435,0
17/05/2012,3.151029,0
18/05/2012,3.149622,0
21/05/2012,3.151029,1
22/05/2012,3.152435,1
23/05/2012,3.156655,1
24/05/2012,3.156655,1
25/05/2012,3.163687,1
28/05/2012,3.1665,1
29/05/2012,3.170016,1
30/05/2012,3.167906,0
31/05/2012,3.160874,0
01/06/2012,3.150325,0
