Date,Open,High,Low,Close,Adj Close,Volume
2018-09-30,8937.259766,9202.230469,8494.049805,9006.179688,9006.179688,2520437
2018-10-01,9006.179688,9165.040039,8488.599609,8846.759766,8846.759766,1613164
2018-10-02,8846.759766,9064.929688,8625.799805,8790.129883,8790.129883,1627588
2018-10-03,8788.450195,9235.040039,8006.430176,8729.639648,8729.639648,4277482
2018-10-04,8729.639648,9172.750000,8068.549805,8937.019531,8937.019531,2488141
2018-10-05,8937.019531,9257.969727,8277.099609,9103.580078,9103.580078,1705257
2018-10-06,9104.230469,9216.969727,8143.759766,9185.240234,9185.240234,687365
2018-10-07,9185.240234,9385.620117,8561.129883,9204.389648,9204.389648,1663270
2018-10-08,9204.389648,9397.629883,8497.780273,9027.700195,9027.700195,1321782
2018-10-09,9027.700195,9224.900391,8329.950195,8872.940430,8872.940430,1787404
2018-10-10,8872.940430,9010.559570,8171.120117,8623.570313,8623.570313,3376826
2018-10-11,8623.570313,8866.379883,8175.609863,8616.820313,8616.820313,2686580
2018-10-12,8616.820313,8840.480469,8086.779785,8565.339844,8565.339844,1185990
2018-10-13,8565.339844,8890.259766,8164.919922,8684.740234,8684.740234,1252694
2018-10-14,8684.740234,9396.959961,8463.900391,8950.299805,8950.299805,6186722
2018-10-15,8950.299805,9119.450195,8533.330078,8720.700195,8720.700195,1570618
2018-10-16,8720.700195,9052.509766,8494.030273,8856.740234,8856.740234,1769444
2018-10-17,8856.740234,9128.929688,8430.200195,8719.769531,8719.769531,1485250
2018-10-18,8719.769531,9096.990234,8410.980469,8777.209961,8777.209961,1246612
2018-10-19,8777.209961,9140.179688,8414.330078,8774.519531,8774.519531,791245
2018-10-20,8774.519531,9223.250000,8486.639648,8799.919922,8799.919922,1005438
2018-10-21,8799.919922,9104.509766,8383.230469,8688.099609,8688.099609,1736862
2018-10-22,8688.099609,9121.059570,8386.209961,8811.040039,8811.040039,2109187
2018-10-23,8811.040039,9018.769531,8336.660156,8754.500000,8754.500000,1530294
2018-10-24,8769.839844,9008.330078,8296.190430,8766.150391,8766.150391,2059387
2018-10-25,8766.150391,9173.299805,8180.560059,8562.849609,8562.849609,1679338
2018-10-26,8562.849609,9071.450195,8315.070313,8883.290039,8883.290039,832950
2018-10-27,8883.290039,9250.450195,8437.400391,8780.179688,8780.179688,513088
2018-10-29,8780.179688,9161.290039,8454.990234,8541.820313,8541.820313,2191648
2018-10-30,8541.820313,8830.059570,8316.589844,8493.959961,8493.959961,1342465
2018-10-31,8493.959961,8889.349609,8272.849609,8621.709961,8621.709961,1487197
2018-11-01,8621.709961,8925.019531,8317.389648,8509.650391,8509.650391,1568659
2018-11-02,8509.650391,9030.469727,8359.730469,8744.290039,8744.290039,1445324
2018-11-03,8744.290039,8979.459961,8311.679688,8612.139648,8612.139648,856236
2018-11-04,8631.580078,9053.940430,8327.469727,8520.419922,8520.419922,1184338
2018-11-05,8520.419922,9151.410156,8458.360352,8721.969727,8721.969727,1241010
2018-11-06,8721.969727,9170.519531,8417.610352,8794.120117,8794.120117,1749204
2018-11-07,8794.120117,9339.459961,8668.349609,8793.730469,8793.730469,1580736
2018-11-08,8793.730469,9224.410156,8503.660156,8789.929688,8789.929688,1527073
2018-11-09,8789.929688,9182.690430,8383.959961,8664.110352,8664.110352,1310369
2018-11-10,8664.110352,9163.160156,8378.570313,8676.669922,8676.669922,792977
2018-11-11,8676.669922,9165.179688,8415.860352,8683.950195,8683.950195,845104
2018-11-12,8683.950195,9166.190430,8393.200195,8632.820313,8632.820313,1011972
2018-11-13,8629.450195,9016.030273,8261.459961,8480.780273,8480.780273,1458419
2018-11-14,8480.780273,8880.059570,7819.120117,8094.959961,8094.959961,4071478
